exact_calls=10 false_false=9 false_true=0 true_false=1 true_true=0 completion_checks_removed=9 call_safepoints_removed=10
call caller=0 caller_name="<program>" callee=1 callee_name="byte::from_int" may_error=true may_gc=false
call caller=0 caller_name="<program>" callee=2 callee_name="ascii::is_digit" may_error=false may_gc=false
call caller=0 caller_name="<program>" callee=3 callee_name="ascii::is_upper" may_error=false may_gc=false
call caller=0 caller_name="<program>" callee=4 callee_name="ascii::is_lower" may_error=false may_gc=false
call caller=0 caller_name="<program>" callee=5 callee_name="ascii::is_alphabetic" may_error=false may_gc=false
call caller=0 caller_name="<program>" callee=6 callee_name="ascii::is_alphanumeric" may_error=false may_gc=false
call caller=5 caller_name="ascii::is_alphabetic" callee=3 callee_name="ascii::is_upper" may_error=false may_gc=false
call caller=5 caller_name="ascii::is_alphabetic" callee=4 callee_name="ascii::is_lower" may_error=false may_gc=false
call caller=6 caller_name="ascii::is_alphanumeric" callee=5 callee_name="ascii::is_alphabetic" may_error=false may_gc=false
call caller=6 caller_name="ascii::is_alphanumeric" callee=2 callee_name="ascii::is_digit" may_error=false may_gc=false
