exact_calls=98 false_false=0 false_true=2 true_false=34 true_true=62 completion_checks_removed=2 call_safepoints_removed=34
call caller=0 caller_name="<program>" callee=54 callee_name="sample" may_error=true may_gc=true
call caller=3 caller_name="geo_grow" callee=2 callee_name="geo_new_capacity" may_error=false may_gc=true
call caller=4 caller_name="geo_append" callee=3 callee_name="geo_grow" may_error=true may_gc=true
call caller=5 caller_name="geo_append" callee=3 callee_name="geo_grow" may_error=true may_gc=true
call caller=6 caller_name="geo_append" callee=3 callee_name="geo_grow" may_error=true may_gc=true
call caller=10 caller_name="scan_unquoted" callee=9 callee_name="peek" may_error=true may_gc=true
call caller=11 caller_name="scan_quoted" callee=8 callee_name="peek" may_error=true may_gc=true
call caller=11 caller_name="scan_quoted" callee=9 callee_name="peek" may_error=true may_gc=true
call caller=12 caller_name="scan_field" callee=9 callee_name="peek" may_error=true may_gc=true
call caller=12 caller_name="scan_field" callee=11 callee_name="scan_quoted" may_error=true may_gc=true
call caller=12 caller_name="scan_field" callee=10 callee_name="scan_unquoted" may_error=true may_gc=true
call caller=13 caller_name="scan_record" callee=12 callee_name="scan_field" may_error=true may_gc=true
call caller=13 caller_name="scan_record" callee=4 callee_name="geo_append" may_error=true may_gc=true
call caller=13 caller_name="scan_record" callee=9 callee_name="peek" may_error=true may_gc=true
call caller=13 caller_name="scan_record" callee=7 callee_name="geo_finish" may_error=true may_gc=true
call caller=13 caller_name="scan_record" callee=7 callee_name="geo_finish" may_error=true may_gc=true
call caller=14 caller_name="scan_records" callee=7 callee_name="geo_finish" may_error=true may_gc=true
call caller=14 caller_name="scan_records" callee=1 callee_name="geo_new" may_error=true may_gc=true
call caller=14 caller_name="scan_records" callee=13 callee_name="scan_record" may_error=true may_gc=true
call caller=14 caller_name="scan_records" callee=5 callee_name="geo_append" may_error=true may_gc=true
call caller=15 caller_name="csv_parse" callee=1 callee_name="geo_new" may_error=true may_gc=true
call caller=15 caller_name="csv_parse" callee=14 callee_name="scan_records" may_error=true may_gc=true
call caller=17 caller_name="ht_alloc" callee=16 callee_name="ht_fill_empty" may_error=true may_gc=true
call caller=18 caller_name="ht_new" callee=17 callee_name="ht_alloc" may_error=true may_gc=true
call caller=20 caller_name="ht_new_sized" callee=19 callee_name="ht_capacity_for" may_error=false may_gc=true
call caller=20 caller_name="ht_new_sized" callee=17 callee_name="ht_alloc" may_error=true may_gc=true
call caller=30 caller_name="ht_capacity" callee=21 callee_name="ht_controls" may_error=true may_gc=false
call caller=31 caller_name="ht_capacity" callee=22 callee_name="ht_controls" may_error=true may_gc=false
call caller=32 caller_name="ht_probe_start" callee=30 callee_name="ht_capacity" may_error=true may_gc=false
call caller=33 caller_name="ht_probe_start" callee=31 callee_name="ht_capacity" may_error=true may_gc=false
call caller=34 caller_name="ht_probe_next" callee=30 callee_name="ht_capacity" may_error=true may_gc=false
call caller=35 caller_name="ht_probe_next" callee=31 callee_name="ht_capacity" may_error=true may_gc=false
call caller=36 caller_name="ht_find_get" callee=22 callee_name="ht_controls" may_error=true may_gc=false
call caller=36 caller_name="ht_find_get" callee=24 callee_name="ht_keys" may_error=true may_gc=false
call caller=36 caller_name="ht_find_get" callee=35 callee_name="ht_probe_next" may_error=true may_gc=true
call caller=37 caller_name="ht_find_insert" callee=21 callee_name="ht_controls" may_error=true may_gc=false
call caller=37 caller_name="ht_find_insert" callee=23 callee_name="ht_keys" may_error=true may_gc=false
call caller=37 caller_name="ht_find_insert" callee=34 callee_name="ht_probe_next" may_error=true may_gc=true
call caller=37 caller_name="ht_find_insert" callee=34 callee_name="ht_probe_next" may_error=true may_gc=true
call caller=38 caller_name="ht_get" callee=33 callee_name="ht_probe_start" may_error=true may_gc=false
call caller=38 caller_name="ht_get" callee=36 callee_name="ht_find_get" may_error=true may_gc=true
call caller=38 caller_name="ht_get" callee=26 callee_name="ht_values" may_error=true may_gc=false
call caller=40 caller_name="ht_rehash_insert" callee=39 callee_name="ht_rehash_probe" may_error=true may_gc=true
call caller=41 caller_name="ht_rehash_scan" callee=40 callee_name="ht_rehash_insert" may_error=true may_gc=true
call caller=42 caller_name="ht_rehash" callee=21 callee_name="ht_controls" may_error=true may_gc=false
call caller=42 caller_name="ht_rehash" callee=23 callee_name="ht_keys" may_error=true may_gc=false
call caller=42 caller_name="ht_rehash" callee=25 callee_name="ht_values" may_error=true may_gc=false
