exact_calls=68 false_false=0 false_true=0 true_false=37 true_true=31 completion_checks_removed=0 call_safepoints_removed=37
call caller=0 caller_name="<program>" callee=25 callee_name="sample" may_error=true may_gc=true
call caller=2 caller_name="ht_alloc" callee=1 callee_name="ht_fill_empty" may_error=true may_gc=true
call caller=3 caller_name="ht_new" callee=2 callee_name="ht_alloc" may_error=true may_gc=true
call caller=9 caller_name="ht_capacity" callee=4 callee_name="ht_controls" may_error=true may_gc=false
call caller=10 caller_name="ht_probe_start" callee=9 callee_name="ht_capacity" may_error=true may_gc=false
call caller=11 caller_name="ht_probe_next" callee=9 callee_name="ht_capacity" may_error=true may_gc=false
call caller=12 caller_name="ht_find_get" callee=4 callee_name="ht_controls" may_error=true may_gc=false
call caller=12 caller_name="ht_find_get" callee=5 callee_name="ht_keys" may_error=true may_gc=false
call caller=12 caller_name="ht_find_get" callee=11 callee_name="ht_probe_next" may_error=true may_gc=true
call caller=13 caller_name="ht_find_insert" callee=4 callee_name="ht_controls" may_error=true may_gc=false
call caller=13 caller_name="ht_find_insert" callee=5 callee_name="ht_keys" may_error=true may_gc=false
call caller=13 caller_name="ht_find_insert" callee=11 callee_name="ht_probe_next" may_error=true may_gc=true
call caller=13 caller_name="ht_find_insert" callee=11 callee_name="ht_probe_next" may_error=true may_gc=true
call caller=14 caller_name="ht_get" callee=10 callee_name="ht_probe_start" may_error=true may_gc=false
call caller=14 caller_name="ht_get" callee=12 callee_name="ht_find_get" may_error=true may_gc=true
call caller=14 caller_name="ht_get" callee=6 callee_name="ht_values" may_error=true may_gc=false
call caller=15 caller_name="ht_contains" callee=10 callee_name="ht_probe_start" may_error=true may_gc=false
call caller=15 caller_name="ht_contains" callee=12 callee_name="ht_find_get" may_error=true may_gc=true
call caller=17 caller_name="ht_rehash_insert" callee=16 callee_name="ht_rehash_probe" may_error=true may_gc=true
call caller=18 caller_name="ht_rehash_scan" callee=17 callee_name="ht_rehash_insert" may_error=true may_gc=true
call caller=19 caller_name="ht_rehash" callee=4 callee_name="ht_controls" may_error=true may_gc=false
call caller=19 caller_name="ht_rehash" callee=5 callee_name="ht_keys" may_error=true may_gc=false
call caller=19 caller_name="ht_rehash" callee=6 callee_name="ht_values" may_error=true may_gc=false
