exact_calls=46 false_false=1 false_true=0 true_false=7 true_true=38 completion_checks_removed=1 call_safepoints_removed=8
call caller=0 caller_name="<program>" callee=3 callee_name="byte::set" may_error=true may_gc=true
call caller=0 caller_name="<program>" callee=10 callee_name="web::uri_escape_text" may_error=true may_gc=true
call caller=0 caller_name="<program>" callee=16 callee_name="check" may_error=true may_gc=true
call caller=0 caller_name="<program>" callee=16 callee_name="check" may_error=true may_gc=true
call caller=3 caller_name="byte::set" callee=1 callee_name="char::codepoint" may_error=false may_gc=false
call caller=3 caller_name="byte::set" callee=2 callee_name="byte::from_int" may_error=true may_gc=false
call caller=7 caller_name="ascii::is_alphabetic" callee=5 callee_name="ascii::is_upper" may_error=true may_gc=false
call caller=7 caller_name="ascii::is_alphabetic" callee=6 callee_name="ascii::is_lower" may_error=true may_gc=false
call caller=8 caller_name="ascii::is_alphanumeric" callee=7 callee_name="ascii::is_alphabetic" may_error=true may_gc=false
call caller=8 caller_name="ascii::is_alphanumeric" callee=4 callee_name="ascii::is_digit" may_error=true may_gc=false
call caller=9 caller_name="web::is_unreserved" callee=8 callee_name="ascii::is_alphanumeric" may_error=true may_gc=false
call caller=10 caller_name="web::uri_escape_text" callee=15 callee_name="esc_from" may_error=true may_gc=true
call caller=12 caller_name="hex_pair" callee=11 callee_name="high_nibble" may_error=true may_gc=true
call caller=13 caller_name="esc_bytes" callee=12 callee_name="hex_pair" may_error=true may_gc=true
call caller=14 caller_name="esc_char" callee=9 callee_name="web::is_unreserved" may_error=true may_gc=false
call caller=14 caller_name="esc_char" callee=13 callee_name="esc_bytes" may_error=true may_gc=true
call caller=14 caller_name="esc_char" callee=13 callee_name="esc_bytes" may_error=true may_gc=true
call caller=15 caller_name="esc_from" callee=14 callee_name="esc_char" may_error=true may_gc=true
call caller=16 caller_name="check" callee=17 callee_name="" may_error=true may_gc=true
call caller=16 caller_name="check" callee=25 callee_name="" may_error=true may_gc=true
call caller=17 caller_name="" callee=20 callee_name="scan_local" may_error=true may_gc=true
call caller=17 caller_name="" callee=19 callee_name="char_at" may_error=true may_gc=true
call caller=17 caller_name="" callee=24 callee_name="domain_loop" may_error=true may_gc=true
call caller=18 caller_name="" callee=20 callee_name="scan_local" may_error=true may_gc=true
call caller=18 caller_name="" callee=19 callee_name="char_at" may_error=true may_gc=true
call caller=18 caller_name="" callee=24 callee_name="domain_loop" may_error=true may_gc=true
call caller=20 caller_name="scan_local" callee=19 callee_name="char_at" may_error=true may_gc=true
call caller=21 caller_name="scan_label" callee=19 callee_name="char_at" may_error=true may_gc=true
call caller=22 caller_name="scan_alpha" callee=19 callee_name="char_at" may_error=true may_gc=true
call caller=23 caller_name="tld_ok" callee=22 callee_name="scan_alpha" may_error=true may_gc=true
call caller=24 caller_name="domain_loop" callee=21 callee_name="scan_label" may_error=true may_gc=true
call caller=24 caller_name="domain_loop" callee=19 callee_name="char_at" may_error=true may_gc=true
call caller=24 caller_name="domain_loop" callee=23 callee_name="tld_ok" may_error=true may_gc=true
call caller=25 caller_name="" callee=28 callee_name="scan_local" may_error=true may_gc=true
call caller=25 caller_name="" callee=27 callee_name="char_at" may_error=true may_gc=true
call caller=25 caller_name="" callee=32 callee_name="domain_loop" may_error=true may_gc=true
call caller=26 caller_name="" callee=28 callee_name="scan_local" may_error=true may_gc=true
call caller=26 caller_name="" callee=27 callee_name="char_at" may_error=true may_gc=true
call caller=26 caller_name="" callee=32 callee_name="domain_loop" may_error=true may_gc=true
call caller=28 caller_name="scan_local" callee=27 callee_name="char_at" may_error=true may_gc=true
call caller=29 caller_name="scan_label" callee=27 callee_name="char_at" may_error=true may_gc=true
call caller=30 caller_name="scan_alpha" callee=27 callee_name="char_at" may_error=true may_gc=true
call caller=31 caller_name="tld_ok" callee=30 callee_name="scan_alpha" may_error=true may_gc=true
call caller=32 caller_name="domain_loop" callee=29 callee_name="scan_label" may_error=true may_gc=true
call caller=32 caller_name="domain_loop" callee=27 callee_name="char_at" may_error=true may_gc=true
call caller=32 caller_name="domain_loop" callee=31 callee_name="tld_ok" may_error=true may_gc=true
