exact_calls=21 false_false=1 false_true=0 true_false=13 true_true=7 completion_checks_removed=1 call_safepoints_removed=14
call caller=0 caller_name="<program>" callee=3 callee_name="byte::set" may_error=true may_gc=true
call caller=0 caller_name="<program>" callee=9 callee_name="web::is_unreserved" may_error=true may_gc=false
call caller=0 caller_name="<program>" callee=9 callee_name="web::is_unreserved" may_error=true may_gc=false
call caller=0 caller_name="<program>" callee=9 callee_name="web::is_unreserved" may_error=true may_gc=false
call caller=0 caller_name="<program>" callee=9 callee_name="web::is_unreserved" may_error=true may_gc=false
call caller=0 caller_name="<program>" callee=9 callee_name="web::is_unreserved" may_error=true may_gc=false
call caller=0 caller_name="<program>" callee=9 callee_name="web::is_unreserved" may_error=true may_gc=false
call caller=3 caller_name="byte::set" callee=1 callee_name="char::codepoint" may_error=false may_gc=false
call caller=3 caller_name="byte::set" callee=2 callee_name="byte::from_int" may_error=true may_gc=false
call caller=7 caller_name="ascii::is_alphabetic" callee=5 callee_name="ascii::is_upper" may_error=true may_gc=false
call caller=7 caller_name="ascii::is_alphabetic" callee=6 callee_name="ascii::is_lower" may_error=true may_gc=false
call caller=8 caller_name="ascii::is_alphanumeric" callee=7 callee_name="ascii::is_alphabetic" may_error=true may_gc=false
call caller=8 caller_name="ascii::is_alphanumeric" callee=4 callee_name="ascii::is_digit" may_error=true may_gc=false
call caller=9 caller_name="web::is_unreserved" callee=8 callee_name="ascii::is_alphanumeric" may_error=true may_gc=false
call caller=10 caller_name="web::uri_escape_text" callee=15 callee_name="esc_from" may_error=true may_gc=true
call caller=12 caller_name="hex_pair" callee=11 callee_name="high_nibble" may_error=true may_gc=true
call caller=13 caller_name="esc_bytes" callee=12 callee_name="hex_pair" may_error=true may_gc=true
call caller=14 caller_name="esc_char" callee=9 callee_name="web::is_unreserved" may_error=true may_gc=false
call caller=14 caller_name="esc_char" callee=13 callee_name="esc_bytes" may_error=true may_gc=true
call caller=14 caller_name="esc_char" callee=13 callee_name="esc_bytes" may_error=true may_gc=true
call caller=15 caller_name="esc_from" callee=14 callee_name="esc_char" may_error=true may_gc=true
