exact_calls=42 false_false=0 false_true=0 true_false=6 true_true=36 completion_checks_removed=0 call_safepoints_removed=6
call caller=0 caller_name="<program>" callee=1 callee_name="web::uri_escape_text" may_error=true may_gc=true
call caller=0 caller_name="<program>" callee=8 callee_name="check" may_error=true may_gc=true
call caller=0 caller_name="<program>" callee=8 callee_name="check" may_error=true may_gc=true
call caller=1 caller_name="web::uri_escape_text" callee=7 callee_name="esc_from" may_error=true may_gc=true
call caller=4 caller_name="hex_pair" callee=2 callee_name="high_nibble" may_error=true may_gc=false
call caller=5 caller_name="esc_bytes" callee=4 callee_name="hex_pair" may_error=true may_gc=true
call caller=6 caller_name="esc_char" callee=3 callee_name="is_unreserved" may_error=true may_gc=false
call caller=6 caller_name="esc_char" callee=5 callee_name="esc_bytes" may_error=true may_gc=true
call caller=6 caller_name="esc_char" callee=5 callee_name="esc_bytes" may_error=true may_gc=true
call caller=7 caller_name="esc_from" callee=6 callee_name="esc_char" may_error=true may_gc=true
call caller=8 caller_name="check" callee=9 callee_name="" may_error=true may_gc=true
call caller=8 caller_name="check" callee=20 callee_name="" may_error=true may_gc=true
call caller=9 caller_name="" callee=15 callee_name="scan_local" may_error=true may_gc=true
call caller=9 caller_name="" callee=12 callee_name="char_at" may_error=true may_gc=true
call caller=9 caller_name="" callee=19 callee_name="domain_loop" may_error=true may_gc=true
call caller=10 caller_name="" callee=15 callee_name="scan_local" may_error=true may_gc=true
call caller=10 caller_name="" callee=12 callee_name="char_at" may_error=true may_gc=true
call caller=10 caller_name="" callee=19 callee_name="domain_loop" may_error=true may_gc=true
call caller=15 caller_name="scan_local" callee=11 callee_name="char_at" may_error=true may_gc=true
call caller=15 caller_name="scan_local" callee=13 callee_name="is_local_char" may_error=true may_gc=false
call caller=16 caller_name="scan_label" callee=11 callee_name="char_at" may_error=true may_gc=true
call caller=16 caller_name="scan_label" callee=14 callee_name="is_label_char" may_error=true may_gc=false
call caller=17 caller_name="scan_alpha" callee=11 callee_name="char_at" may_error=true may_gc=true
call caller=18 caller_name="tld_ok" callee=17 callee_name="scan_alpha" may_error=true may_gc=true
call caller=19 caller_name="domain_loop" callee=16 callee_name="scan_label" may_error=true may_gc=true
call caller=19 caller_name="domain_loop" callee=12 callee_name="char_at" may_error=true may_gc=true
call caller=19 caller_name="domain_loop" callee=18 callee_name="tld_ok" may_error=true may_gc=true
call caller=20 caller_name="" callee=26 callee_name="scan_local" may_error=true may_gc=true
call caller=20 caller_name="" callee=23 callee_name="char_at" may_error=true may_gc=true
call caller=20 caller_name="" callee=30 callee_name="domain_loop" may_error=true may_gc=true
call caller=21 caller_name="" callee=26 callee_name="scan_local" may_error=true may_gc=true
call caller=21 caller_name="" callee=23 callee_name="char_at" may_error=true may_gc=true
call caller=21 caller_name="" callee=30 callee_name="domain_loop" may_error=true may_gc=true
call caller=26 caller_name="scan_local" callee=22 callee_name="char_at" may_error=true may_gc=true
call caller=26 caller_name="scan_local" callee=24 callee_name="is_local_char" may_error=true may_gc=false
call caller=27 caller_name="scan_label" callee=22 callee_name="char_at" may_error=true may_gc=true
call caller=27 caller_name="scan_label" callee=25 callee_name="is_label_char" may_error=true may_gc=false
call caller=28 caller_name="scan_alpha" callee=22 callee_name="char_at" may_error=true may_gc=true
call caller=29 caller_name="tld_ok" callee=28 callee_name="scan_alpha" may_error=true may_gc=true
call caller=30 caller_name="domain_loop" callee=27 callee_name="scan_label" may_error=true may_gc=true
call caller=30 caller_name="domain_loop" callee=23 callee_name="char_at" may_error=true may_gc=true
call caller=30 caller_name="domain_loop" callee=29 callee_name="tld_ok" may_error=true may_gc=true
