exact_calls=46 false_false=15 false_true=0 true_false=0 true_true=31 completion_checks_removed=15 call_safepoints_removed=15
call caller=0 caller_name="<program>" callee=20 callee_name="csv_parse" may_error=true may_gc=true
call caller=2 caller_name="chunked_new" callee=1 callee_name="chunk_size" may_error=false may_gc=false
call caller=3 caller_name="chunked_append" callee=1 callee_name="chunk_size" may_error=false may_gc=false
call caller=3 caller_name="chunked_append" callee=1 callee_name="chunk_size" may_error=false may_gc=false
call caller=4 caller_name="chunked_append" callee=1 callee_name="chunk_size" may_error=false may_gc=false
call caller=4 caller_name="chunked_append" callee=1 callee_name="chunk_size" may_error=false may_gc=false
call caller=5 caller_name="chunked_append" callee=1 callee_name="chunk_size" may_error=false may_gc=false
call caller=5 caller_name="chunked_append" callee=1 callee_name="chunk_size" may_error=false may_gc=false
call caller=6 caller_name="chunked_append" callee=1 callee_name="chunk_size" may_error=false may_gc=false
call caller=6 caller_name="chunked_append" callee=1 callee_name="chunk_size" may_error=false may_gc=false
call caller=7 caller_name="chunked_copy_chunks" callee=1 callee_name="chunk_size" may_error=false may_gc=false
call caller=7 caller_name="chunked_copy_chunks" callee=1 callee_name="chunk_size" may_error=false may_gc=false
call caller=8 caller_name="chunked_copy_chunks" callee=1 callee_name="chunk_size" may_error=false may_gc=false
call caller=8 caller_name="chunked_copy_chunks" callee=1 callee_name="chunk_size" may_error=false may_gc=false
call caller=9 caller_name="chunked_finish" callee=1 callee_name="chunk_size" may_error=false may_gc=false
call caller=9 caller_name="chunked_finish" callee=7 callee_name="chunked_copy_chunks" may_error=true may_gc=true
call caller=10 caller_name="chunked_finish" callee=1 callee_name="chunk_size" may_error=false may_gc=false
call caller=10 caller_name="chunked_finish" callee=8 callee_name="chunked_copy_chunks" may_error=true may_gc=true
call caller=13 caller_name="scan_unquoted" callee=12 callee_name="peek" may_error=true may_gc=true
call caller=14 caller_name="scan_quoted" callee=11 callee_name="peek" may_error=true may_gc=true
call caller=14 caller_name="scan_quoted" callee=12 callee_name="peek" may_error=true may_gc=true
call caller=15 caller_name="scan_field" callee=12 callee_name="peek" may_error=true may_gc=true
call caller=15 caller_name="scan_field" callee=14 callee_name="scan_quoted" may_error=true may_gc=true
call caller=15 caller_name="scan_field" callee=13 callee_name="scan_unquoted" may_error=true may_gc=true
call caller=16 caller_name="scan_record" callee=15 callee_name="scan_field" may_error=true may_gc=true
call caller=16 caller_name="scan_record" callee=3 callee_name="chunked_append" may_error=true may_gc=true
call caller=16 caller_name="scan_record" callee=12 callee_name="peek" may_error=true may_gc=true
call caller=16 caller_name="scan_record" callee=17 callee_name="scan_record" may_error=true may_gc=true
call caller=16 caller_name="scan_record" callee=10 callee_name="chunked_finish" may_error=true may_gc=true
call caller=16 caller_name="scan_record" callee=10 callee_name="chunked_finish" may_error=true may_gc=true
call caller=17 caller_name="scan_record" callee=15 callee_name="scan_field" may_error=true may_gc=true
call caller=17 caller_name="scan_record" callee=4 callee_name="chunked_append" may_error=true may_gc=true
call caller=17 caller_name="scan_record" callee=12 callee_name="peek" may_error=true may_gc=true
call caller=17 caller_name="scan_record" callee=10 callee_name="chunked_finish" may_error=true may_gc=true
call caller=17 caller_name="scan_record" callee=10 callee_name="chunked_finish" may_error=true may_gc=true
call caller=18 caller_name="scan_records" callee=9 callee_name="chunked_finish" may_error=true may_gc=true
call caller=18 caller_name="scan_records" callee=2 callee_name="chunked_new" may_error=true may_gc=true
call caller=18 caller_name="scan_records" callee=16 callee_name="scan_record" may_error=true may_gc=true
call caller=18 caller_name="scan_records" callee=5 callee_name="chunked_append" may_error=true may_gc=true
call caller=18 caller_name="scan_records" callee=19 callee_name="scan_records" may_error=true may_gc=true
call caller=19 caller_name="scan_records" callee=10 callee_name="chunked_finish" may_error=true may_gc=true
call caller=19 caller_name="scan_records" callee=2 callee_name="chunked_new" may_error=true may_gc=true
call caller=19 caller_name="scan_records" callee=16 callee_name="scan_record" may_error=true may_gc=true
call caller=19 caller_name="scan_records" callee=6 callee_name="chunked_append" may_error=true may_gc=true
call caller=20 caller_name="csv_parse" callee=2 callee_name="chunked_new" may_error=true may_gc=true
call caller=20 caller_name="csv_parse" callee=18 callee_name="scan_records" may_error=true may_gc=true
