exact_calls=21 false_false=0 false_true=1 true_false=0 true_true=20 completion_checks_removed=1 call_safepoints_removed=0
call caller=0 caller_name="<program>" callee=14 callee_name="csv_parse" may_error=true may_gc=true
call caller=3 caller_name="geo_grow" callee=2 callee_name="geo_new_capacity" may_error=false may_gc=true
call caller=4 caller_name="geo_append" callee=3 callee_name="geo_grow" may_error=true may_gc=true
call caller=5 caller_name="geo_append" callee=3 callee_name="geo_grow" may_error=true may_gc=true
call caller=9 caller_name="scan_unquoted" callee=8 callee_name="peek" may_error=true may_gc=true
call caller=10 caller_name="scan_quoted" callee=7 callee_name="peek" may_error=true may_gc=true
call caller=10 caller_name="scan_quoted" callee=8 callee_name="peek" may_error=true may_gc=true
call caller=11 caller_name="scan_field" callee=8 callee_name="peek" may_error=true may_gc=true
call caller=11 caller_name="scan_field" callee=10 callee_name="scan_quoted" may_error=true may_gc=true
call caller=11 caller_name="scan_field" callee=9 callee_name="scan_unquoted" may_error=true may_gc=true
call caller=12 caller_name="scan_record" callee=11 callee_name="scan_field" may_error=true may_gc=true
call caller=12 caller_name="scan_record" callee=4 callee_name="geo_append" may_error=true may_gc=true
call caller=12 caller_name="scan_record" callee=8 callee_name="peek" may_error=true may_gc=true
call caller=12 caller_name="scan_record" callee=6 callee_name="geo_finish" may_error=true may_gc=true
call caller=12 caller_name="scan_record" callee=6 callee_name="geo_finish" may_error=true may_gc=true
call caller=13 caller_name="scan_records" callee=6 callee_name="geo_finish" may_error=true may_gc=true
call caller=13 caller_name="scan_records" callee=1 callee_name="geo_new" may_error=true may_gc=true
call caller=13 caller_name="scan_records" callee=12 callee_name="scan_record" may_error=true may_gc=true
call caller=13 caller_name="scan_records" callee=5 callee_name="geo_append" may_error=true may_gc=true
call caller=14 caller_name="csv_parse" callee=1 callee_name="geo_new" may_error=true may_gc=true
call caller=14 caller_name="csv_parse" callee=13 callee_name="scan_records" may_error=true may_gc=true
