exact_calls=112 false_false=14 false_true=2 true_false=34 true_true=62 completion_checks_removed=16 call_safepoints_removed=48
call caller=0 caller_name="<program>" callee=58 callee_name="sample" may_error=true may_gc=true
call caller=3 caller_name="geo_grow" callee=2 callee_name="geo_new_capacity" may_error=false may_gc=true
call caller=4 caller_name="geo_append" callee=3 callee_name="geo_grow" may_error=true may_gc=true
call caller=5 caller_name="geo_append" callee=3 callee_name="geo_grow" may_error=true may_gc=true
call caller=6 caller_name="geo_append" callee=3 callee_name="geo_grow" may_error=true may_gc=true
call caller=10 caller_name="scan_unquoted" callee=9 callee_name="peek" may_error=true may_gc=true
call caller=11 caller_name="scan_quoted" callee=8 callee_name="peek" may_error=true may_gc=true
call caller=11 caller_name="scan_quoted" callee=9 callee_name="peek" may_error=true may_gc=true
call caller=12 caller_name="scan_field" callee=9 callee_name="peek" may_error=true may_gc=true
call caller=12 caller_name="scan_field" callee=11 callee_name="scan_quoted" may_error=true may_gc=true
call caller=12 caller_name="scan_field" callee=10 callee_name="scan_unquoted" may_error=true may_gc=true
call caller=13 caller_name="scan_record" callee=12 callee_name="scan_field" may_error=true may_gc=true
call caller=13 caller_name="scan_record" callee=4 callee_name="geo_append" may_error=true may_gc=true
call caller=13 caller_name="scan_record" callee=9 callee_name="peek" may_error=true may_gc=true
call caller=13 caller_name="scan_record" callee=7 callee_name="geo_finish" may_error=true may_gc=true
call caller=13 caller_name="scan_record" callee=7 callee_name="geo_finish" may_error=true may_gc=true
call caller=14 caller_name="scan_records" callee=7 callee_name="geo_finish" may_error=true may_gc=true
call caller=14 caller_name="scan_records" callee=1 callee_name="geo_new" may_error=true may_gc=true
call caller=14 caller_name="scan_records" callee=13 callee_name="scan_record" may_error=true may_gc=true
call caller=14 caller_name="scan_records" callee=5 callee_name="geo_append" may_error=true may_gc=true
call caller=15 caller_name="csv_parse" callee=1 callee_name="geo_new" may_error=true may_gc=true
call caller=15 caller_name="csv_parse" callee=14 callee_name="scan_records" may_error=true may_gc=true
call caller=20 caller_name="ht_fill_empty" callee=17 callee_name="ht_empty_state" may_error=false may_gc=false
call caller=21 caller_name="ht_alloc" callee=20 callee_name="ht_fill_empty" may_error=true may_gc=true
call caller=22 caller_name="ht_new" callee=16 callee_name="ht_min_capacity" may_error=false may_gc=false
call caller=22 caller_name="ht_new" callee=21 callee_name="ht_alloc" may_error=true may_gc=true
