exact_calls=82 false_false=14 false_true=0 true_false=37 true_true=31 completion_checks_removed=14 call_safepoints_removed=51
call caller=0 caller_name="<program>" callee=29 callee_name="sample" may_error=true may_gc=true
call caller=5 caller_name="ht_fill_empty" callee=2 callee_name="ht_empty_state" may_error=false may_gc=false
call caller=6 caller_name="ht_alloc" callee=5 callee_name="ht_fill_empty" may_error=true may_gc=true
call caller=7 caller_name="ht_new" callee=1 callee_name="ht_min_capacity" may_error=false may_gc=false
call caller=7 caller_name="ht_new" callee=6 callee_name="ht_alloc" may_error=true may_gc=true
call caller=13 caller_name="ht_capacity" callee=8 callee_name="ht_controls" may_error=true may_gc=false
call caller=14 caller_name="ht_probe_start" callee=13 callee_name="ht_capacity" may_error=true may_gc=false
call caller=15 caller_name="ht_probe_next" callee=13 callee_name="ht_capacity" may_error=true may_gc=false
call caller=16 caller_name="ht_find_get" callee=8 callee_name="ht_controls" may_error=true may_gc=false
call caller=16 caller_name="ht_find_get" callee=2 callee_name="ht_empty_state" may_error=false may_gc=false
call caller=16 caller_name="ht_find_get" callee=3 callee_name="ht_occupied_state" may_error=false may_gc=false
call caller=16 caller_name="ht_find_get" callee=9 callee_name="ht_keys" may_error=true may_gc=false
call caller=16 caller_name="ht_find_get" callee=15 callee_name="ht_probe_next" may_error=true may_gc=true
call caller=17 caller_name="ht_find_insert" callee=8 callee_name="ht_controls" may_error=true may_gc=false
call caller=17 caller_name="ht_find_insert" callee=2 callee_name="ht_empty_state" may_error=false may_gc=false
call caller=17 caller_name="ht_find_insert" callee=3 callee_name="ht_occupied_state" may_error=false may_gc=false
call caller=17 caller_name="ht_find_insert" callee=9 callee_name="ht_keys" may_error=true may_gc=false
call caller=17 caller_name="ht_find_insert" callee=4 callee_name="ht_tombstone_state" may_error=false may_gc=false
call caller=17 caller_name="ht_find_insert" callee=15 callee_name="ht_probe_next" may_error=true may_gc=true
call caller=17 caller_name="ht_find_insert" callee=15 callee_name="ht_probe_next" may_error=true may_gc=true
call caller=18 caller_name="ht_get" callee=14 callee_name="ht_probe_start" may_error=true may_gc=false
call caller=18 caller_name="ht_get" callee=16 callee_name="ht_find_get" may_error=true may_gc=true
call caller=18 caller_name="ht_get" callee=10 callee_name="ht_values" may_error=true may_gc=false
call caller=19 caller_name="ht_contains" callee=14 callee_name="ht_probe_start" may_error=true may_gc=false
call caller=19 caller_name="ht_contains" callee=16 callee_name="ht_find_get" may_error=true may_gc=true
call caller=20 caller_name="ht_rehash_probe" callee=2 callee_name="ht_empty_state" may_error=false may_gc=false
call caller=21 caller_name="ht_rehash_insert" callee=20 callee_name="ht_rehash_probe" may_error=true may_gc=true
call caller=21 caller_name="ht_rehash_insert" callee=3 callee_name="ht_occupied_state" may_error=false may_gc=false
call caller=22 caller_name="ht_rehash_scan" callee=3 callee_name="ht_occupied_state" may_error=false may_gc=false
call caller=22 caller_name="ht_rehash_scan" callee=21 callee_name="ht_rehash_insert" may_error=true may_gc=true
call caller=23 caller_name="ht_rehash" callee=8 callee_name="ht_controls" may_error=true may_gc=false
call caller=23 caller_name="ht_rehash" callee=9 callee_name="ht_keys" may_error=true may_gc=false
call caller=23 caller_name="ht_rehash" callee=10 callee_name="ht_values" may_error=true may_gc=false
call caller=23 caller_name="ht_rehash" callee=13 callee_name="ht_capacity" may_error=true may_gc=false
call caller=23 caller_name="ht_rehash" callee=5 callee_name="ht_fill_empty" may_error=true may_gc=true
call caller=23 caller_name="ht_rehash" callee=22 callee_name="ht_rehash_scan" may_error=true may_gc=true
call caller=24 caller_name="ht_should_grow" callee=11 callee_name="ht_size" may_error=true may_gc=false
call caller=24 caller_name="ht_should_grow" callee=12 callee_name="ht_tombstones" may_error=true may_gc=false
call caller=24 caller_name="ht_should_grow" callee=13 callee_name="ht_capacity" may_error=true may_gc=false
call caller=25 caller_name="ht_grow_or_clean" callee=12 callee_name="ht_tombstones" may_error=true may_gc=false
call caller=25 caller_name="ht_grow_or_clean" callee=11 callee_name="ht_size" may_error=true may_gc=false
call caller=25 caller_name="ht_grow_or_clean" callee=13 callee_name="ht_capacity" may_error=true may_gc=false
call caller=25 caller_name="ht_grow_or_clean" callee=23 callee_name="ht_rehash" may_error=true may_gc=true
call caller=25 caller_name="ht_grow_or_clean" callee=13 callee_name="ht_capacity" may_error=true may_gc=false
call caller=25 caller_name="ht_grow_or_clean" callee=23 callee_name="ht_rehash" may_error=true may_gc=true
call caller=26 caller_name="ht_place" callee=8 callee_name="ht_controls" may_error=true may_gc=false
call caller=26 caller_name="ht_place" callee=3 callee_name="ht_occupied_state" may_error=false may_gc=false
call caller=26 caller_name="ht_place" callee=9 callee_name="ht_keys" may_error=true may_gc=false
call caller=26 caller_name="ht_place" callee=10 callee_name="ht_values" may_error=true may_gc=false
call caller=26 caller_name="ht_place" callee=11 callee_name="ht_size" may_error=true may_gc=false
call caller=26 caller_name="ht_place" callee=4 callee_name="ht_tombstone_state" may_error=false may_gc=false
call caller=26 caller_name="ht_place" callee=12 callee_name="ht_tombstones" may_error=true may_gc=false
call caller=27 caller_name="ht_set" callee=14 callee_name="ht_probe_start" may_error=true may_gc=false
call caller=27 caller_name="ht_set" callee=17 callee_name="ht_find_insert" may_error=true may_gc=true
call caller=27 caller_name="ht_set" callee=8 callee_name="ht_controls" may_error=true may_gc=false
call caller=27 caller_name="ht_set" callee=3 callee_name="ht_occupied_state" may_error=false may_gc=false
call caller=27 caller_name="ht_set" callee=10 callee_name="ht_values" may_error=true may_gc=false
call caller=27 caller_name="ht_set" callee=24 callee_name="ht_should_grow" may_error=true may_gc=true
call caller=27 caller_name="ht_set" callee=25 callee_name="ht_grow_or_clean" may_error=true may_gc=true
call caller=27 caller_name="ht_set" callee=14 callee_name="ht_probe_start" may_error=true may_gc=false
call caller=27 caller_name="ht_set" callee=17 callee_name="ht_find_insert" may_error=true may_gc=true
call caller=27 caller_name="ht_set" callee=26 callee_name="ht_place" may_error=true may_gc=true
call caller=27 caller_name="ht_set" callee=26 callee_name="ht_place" may_error=true may_gc=true
call caller=28 caller_name="ht_delete" callee=14 callee_name="ht_probe_start" may_error=true may_gc=false
call caller=28 caller_name="ht_delete" callee=16 callee_name="ht_find_get" may_error=true may_gc=true
call caller=28 caller_name="ht_delete" callee=8 callee_name="ht_controls" may_error=true may_gc=false
call caller=28 caller_name="ht_delete" callee=4 callee_name="ht_tombstone_state" may_error=false may_gc=false
call caller=28 caller_name="ht_delete" callee=9 callee_name="ht_keys" may_error=true may_gc=false
call caller=28 caller_name="ht_delete" callee=10 callee_name="ht_values" may_error=true may_gc=false
call caller=28 caller_name="ht_delete" callee=11 callee_name="ht_size" may_error=true may_gc=false
call caller=28 caller_name="ht_delete" callee=12 callee_name="ht_tombstones" may_error=true may_gc=false
call caller=29 caller_name="sample" callee=7 callee_name="ht_new" may_error=true may_gc=true
call caller=29 caller_name="sample" callee=27 callee_name="ht_set" may_error=true may_gc=true
call caller=29 caller_name="sample" callee=27 callee_name="ht_set" may_error=true may_gc=true
call caller=29 caller_name="sample" callee=27 callee_name="ht_set" may_error=true may_gc=true
call caller=29 caller_name="sample" callee=19 callee_name="ht_contains" may_error=true may_gc=true
call caller=29 caller_name="sample" callee=28 callee_name="ht_delete" may_error=true may_gc=true
call caller=29 caller_name="sample" callee=18 callee_name="ht_get" may_error=true may_gc=true
call caller=29 caller_name="sample" callee=19 callee_name="ht_contains" may_error=true may_gc=true
call caller=29 caller_name="sample" callee=19 callee_name="ht_contains" may_error=true may_gc=true
call caller=29 caller_name="sample" callee=18 callee_name="ht_get" may_error=true may_gc=true
call caller=29 caller_name="sample" callee=11 callee_name="ht_size" may_error=true may_gc=false
